Date,Root,Ticker,Price
1999-07-16,TY,TYH2000,97.6875
1999-07-19,TY,TYH2000,100.125
1999-07-20,TY,TYH2000,100.234375
1999-07-21,TY,TYH2000,100.171875
1999-07-22,TY,TYH2000,99.40625
1999-07-23,TY,TYH2000,99.0
1999-07-26,TY,TYH2000,98.859375
1999-07-27,TY,TYH2000,99.09375
1999-07-28,TY,TYH2000,99.078125
1999-07-29,TY,TYH2000,98.625
1999-07-30,TY,TYH2000,98.40625
1999-08-02,TY,TYH2000,98.359375
1999-08-03,TY,TYH2000,98.203125
1999-08-04,TY,TYH2000,98.25
1999-08-05,TY,TYH2000,98.625
1999-08-06,TY,TYH2000,97.625
1999-08-09,TY,TYH2000,96.828125
1999-08-10,TY,TYH2000,96.71875
1999-08-11,TY,TYH2000,96.984375
1999-08-12,TY,TYH2000,97.0
1999-08-13,TY,TYH2000,97.703125
1999-08-16,TY,TYH2000,97.6875
1999-08-17,TY,TYH2000,98.328125
1999-08-18,TY,TYH2000,98.421875
1999-08-19,TY,TYH2000,98.34375
1999-08-20,TY,TYH2000,98.453125
1999-08-23,TY,TYH2000,98.40625
1999-08-24,TY,TYH2000,98.921875
1999-08-25,TY,TYH2000,99.640625
1999-08-26,TY,TYH2000,99.453125
1999-08-27,TY,TYH2000,98.875
1999-08-30,FV,FVH2000,100.0
1999-08-30,TY,TYH2000,98.171875
1999-08-31,FV,FVH2000,99.921875
1999-08-31,TY,TYH2000,98.0625
1999-09-01,FV,FVH2000,99.9375
1999-09-01,TY,TYH2000,98.078125
1999-09-02,FV,FVH2000,99.84375
1999-09-02,TY,TYH2000,97.84375
1999-09-03,FV,FVH2000,100.375
1999-09-03,TY,TYH2000,98.59375
1999-09-07,FV,FVH2000,100.140625
1999-09-07,TY,TYH2000,98.265625
1999-09-08,FV,FVH2000,100.234375
1999-09-08,TY,TYH2000,98.390625
1999-09-09,FV,FVH2000,99.875
1999-09-09,TY,TYH2000,98.109375
1999-09-10,FV,FVH2000,100.203125
1999-09-10,TY,TYH2000,98.65625
1999-09-13,FV,FVH2000,100.125
1999-09-13,TY,TYH2000,98.53125
1999-09-14,FV,FVH2000,99.875
1999-09-14,TY,TYH2000,98.171875
1999-09-15,FV,FVH2000,100.078125
1999-09-15,TY,TYH2000,98.421875
1999-09-16,FV,FVH2000,100.203125
1999-09-16,TY,TYH2000,98.640625
1999-09-17,FV,FVH2000,100.3125
1999-09-17,TY,TYH2000,98.90625
1999-09-20,FV,FVH2000,100.09375
1999-09-20,TY,TYH2000,98.625
1999-09-21,FV,FVH2000,99.96875
1999-09-21,TY,TYH2000,98.46875
1999-09-22,FV,FVH2000,100.03125
1999-09-22,TY,TYH2000,98.53125
1999-09-23,FV,FVH2000,100.40625
1999-09-23,TY,TYH2000,99.078125
1999-09-24,FV,FVH2000,100.78125
1999-09-24,TY,TYH2000,99.671875
1999-09-27,FV,FVH2000,100.135
1999-09-27,TY,TYH2000,99.15625
1999-09-28,FV,FVH2000,100.203125
1999-09-28,TY,TYH2000,98.6875
1999-09-29,FV,FVH2000,99.84375
1999-09-29,TY,TYH2000,98.078125
1999-09-30,FV,FVH2000,100.15625
1999-09-30,TY,TYH2000,98.53125
1999-10-01,FV,FVH2000,99.671875
1999-10-01,TY,TYH2000,97.8125
1999-10-04,FV,FVH2000,99.953125
1999-10-04,TY,TYH2000,98.1875
1999-10-05,FV,FVH2000,99.4375
1999-10-05,TY,TYH2000,97.515625
1999-10-06,FV,FVH2000,99.3125
1999-10-06,TY,TYH2000,97.453125
1999-10-07,FV,FVH2000,99.265625
1999-10-07,TY,TYH2000,97.421875
1999-10-08,FV,FVH2000,99.375
1999-10-08,TY,TYH2000,97.578125
1999-10-12,FV,FVH2000,99.25
1999-10-12,TY,TYH2000,97.3125
1999-10-13,FV,FVH2000,99.03125
1999-10-13,TY,TYH2000,96.90625
1999-10-14,FV,FVH2000,98.8125
1999-10-14,TY,TYH2000,96.59375
1999-10-15,FV,FVH2000,99.25
1999-10-15,TY,TYH2000,97.1875
1999-10-18,FV,FVH2000,99.171875
1999-10-18,TY,TYH2000,96.953125
1999-10-19,FV,FVH2000,98.9375
1999-10-19,TY,TYH2000,96.703125
1999-10-20,FV,FVH2000,98.890625
1999-10-20,TY,TYH2000,96.5625
1999-10-21,FV,FVH2000,98.84375
1999-10-21,TY,TYH2000,96.46875
1999-10-22,FV,FVH2000,98.78125
1999-10-22,TY,TYH2000,96.40625
1999-10-25,FV,FVH2000,98.75
1999-10-25,TY,TYH2000,96.3125
1999-10-26,FV,FVH2000,98.71875
1999-10-26,TY,TYH2000,96.203125
1999-10-27,TU,TUH2000,99.734375
1999-10-27,FV,FVH2000,98.859375
1999-10-27,TY,TYH2000,96.625
1999-10-28,TU,TUH2000,99.8125
1999-10-28,FV,FVH2000,99.09375
1999-10-28,TY,TYH2000,97.15625
1999-10-29,TU,TUH2000,99.9921875
1999-10-29,FV,FVH2000,99.546875
1999-10-29,TY,TYH2000,97.9375
1999-11-01,TU,TUH2000,99.9140625
1999-11-01,FV,FVH2000,99.40625
1999-11-01,TY,TYH2000,97.6875
1999-11-02,TU,TUH2000,99.9375
1999-11-02,FV,FVH2000,99.515625
1999-11-02,TY,TYH2000,97.9375
1999-11-03,TU,TUH2000,99.9765625
1999-11-03,FV,FVH2000,99.59375
1999-11-03,TY,TYH2000,98.078125
1999-11-04,TU,TUH2000,100.0859375
1999-11-04,FV,FVH2000,99.84375
1999-11-04,TY,TYH2000,98.5
1999-11-05,TU,TUH2000,100.15625
1999-11-05,FV,FVH2000,100.0625
1999-11-05,TY,TYH2000,98.859375
1999-11-08,TU,TUH2000,100.1171875
1999-11-08,FV,FVH2000,99.9375
1999-11-08,TY,TYH2000,98.734375
1999-11-09,TU,TUH2000,100.0703125
1999-11-09,FV,FVH2000,99.859375
1999-11-09,TY,TYH2000,98.671875
1999-11-10,TU,TUH2000,100.0
1999-11-10,FV,FVH2000,99.71875
1999-11-10,TY,TYH2000,98.46875
1999-11-12,TU,TUH2000,100.078125
1999-11-12,FV,FVH2000,99.96875
1999-11-12,TY,TYH2000,98.96875
1999-11-15,TU,TUH2000,100.0703125
1999-11-15,FV,FVH2000,99.9375
1999-11-15,TY,TYH2000,98.875
1999-11-16,TU,TUH2000,99.9921875
1999-11-16,FV,FVH2000,99.78125
1999-11-16,TY,TYH2000,98.6875
1999-11-17,TU,TUH2000,99.9296875
1999-11-17,FV,FVH2000,99.546875
1999-11-17,TY,TYH2000,98.28125
1999-11-18,TU,TUH2000,99.9140625
1999-11-18,FV,FVH2000,99.5
1999-11-18,TY,TYH2000,98.125
1999-11-19,TU,TUH2000,99.8984375
1999-11-19,FV,FVH2000,99.453125
1999-11-19,TY,TYH2000,98.0625
1999-11-22,TU,TUH2000,99.875
1999-11-22,FV,FVH2000,99.328125
1999-11-22,TY,TYH2000,97.90625
1999-11-23,TU,TUH2000,99.8828125
1999-11-23,FV,FVH2000,99.375
1999-11-23,TY,TYH2000,97.96875
1999-11-24,TU,TUH2000,99.875
1999-11-24,FV,FVH2000,99.34375
1999-11-24,TY,TYH2000,97.953125
1999-11-26,TU,TUH2000,99.8203125
1999-11-26,FV,FVH2000,99.234375
1999-11-26,TY,TYH2000,97.78125
1999-11-29,TU,TUH2000,99.65625
1999-11-29,FV,FVH2000,98.859375
1999-11-29,TY,TYH2000,97.234375
1999-11-30,TU,TUH2000,99.734375
1999-11-30,FV,FVH2000,98.984375
1999-11-30,TY,TYH2000,97.484375
1999-12-01,TU,TUH2000,99.671875
1999-12-01,FV,FVH2000,98.859375
1999-12-01,TY,TYH2000,97.296875
1999-12-02,TU,TUH2000,99.6328125
1999-12-02,FV,FVH2000,98.765625
1999-12-02,TY,TYH2000,97.109375
1999-12-03,TU,TUH2000,99.7890625
1999-12-03,FV,FVH2000,99.140625
1999-12-03,TY,TYH2000,97.578125
1999-12-06,TU,TUH2000,99.8203125
1999-12-06,FV,FVH2000,99.1875
1999-12-06,TY,TYH2000,97.734375
1999-12-07,TU,TUH2000,99.875
1999-12-07,FV,FVH2000,99.375
1999-12-07,TY,TYH2000,98.046875
1999-12-08,TU,TUH2000,99.8125
1999-12-08,FV,FVH2000,99.234375
1999-12-08,TY,TYH2000,97.90625
1999-12-09,TU,TUH2000,99.859375
1999-12-09,FV,FVH2000,99.328125
1999-12-09,TY,TYH2000,98.078125
1999-12-10,TU,TUH2000,99.9453125
1999-12-10,FV,FVH2000,99.578125
1999-12-10,TY,TYH2000,98.53125
1999-12-13,TU,TUH2000,99.8828125
1999-12-13,FV,FVH2000,99.46875
1999-12-13,TY,TYH2000,98.390625
1999-12-14,TU,TUH2000,99.65625
1999-12-14,FV,FVH2000,99.015625
1999-12-14,TY,TYH2000,97.59375
1999-12-15,TU,TUH2000,99.578125
1999-12-15,FV,FVH2000,98.859375
1999-12-15,TY,TYH2000,97.328125
1999-12-16,TU,TUH2000,99.4609375
1999-12-16,FV,FVH2000,98.625
1999-12-16,TY,TYH2000,96.859375
1999-12-17,TU,TUH2000,99.4453125
1999-12-17,FV,FVH2000,98.59375
1999-12-17,TY,TYH2000,96.828125
1999-12-20,TU,TUH2000,99.3828125
1999-12-20,FV,FVH2000,98.375
1999-12-20,TY,TYH2000,96.4375
1999-12-20,TY,TYM2000,96.1875
1999-12-21,TU,TUH2000,99.359375
1999-12-21,FV,FVH2000,98.3125
1999-12-21,TY,TYH2000,96.28125
1999-12-21,TY,TYM2000,96.03125
1999-12-22,TU,TUH2000,99.34375
1999-12-22,FV,FVH2000,98.28125
1999-12-22,FV,FVM2000,98.015625
1999-12-22,TY,TYH2000,96.234375
1999-12-22,TY,TYM2000,96.0
1999-12-23,TU,TUH2000,99.3359375
1999-12-23,FV,FVH2000,98.203125
1999-12-23,FV,FVM2000,97.9375
1999-12-23,TY,TYH2000,96.109375
1999-12-23,TY,TYM2000,95.859375
1999-12-27,TU,TUH2000,99.390625
1999-12-27,FV,FVH2000,98.28125
1999-12-27,FV,FVM2000,98.0
1999-12-27,TY,TYH2000,96.203125
1999-12-27,TY,TYM2000,95.953125
1999-12-28,TU,TUH2000,99.34375
1999-12-28,FV,FVH2000,98.15625
1999-12-28,FV,FVM2000,97.875
1999-12-28,TY,TYH2000,96.0
1999-12-28,TY,TYM2000,95.75
1999-12-29,TU,TUH2000,99.40625
1999-12-29,FV,FVH2000,98.25
1999-12-29,FV,FVM2000,97.96875
1999-12-29,TY,TYH2000,96.15625
1999-12-29,TY,TYM2000,95.90625
1999-12-30,TU,TUH2000,99.4375
1999-12-30,FV,FVH2000,98.328125
1999-12-30,FV,FVM2000,97.90625
1999-12-30,TY,TYH2000,96.265625
1999-12-30,TY,TYM2000,96.015625
1999-12-31,TU,TUH2000,99.3046875
1999-12-31,FV,FVH2000,98.015625
1999-12-31,FV,FVM2000,97.609375
1999-12-31,TY,TYH2000,95.859375
1999-12-31,TY,TYM2000,95.578125
2000-01-03,TU,TUH2000,99.0859375
2000-01-03,FV,FVH2000,97.59375
2000-01-03,FV,FVM2000,97.25
2000-01-03,TY,TYH2000,95.078125
2000-01-03,TY,TYM2000,94.84375
2000-01-04,TU,TUH2000,99.2109375
2000-01-04,FV,FVH2000,97.921875
2000-01-04,FV,FVM2000,97.59375
2000-01-04,TY,TYH2000,95.5625
2000-01-04,TY,TYM2000,95.21875
2000-01-05,TU,TUH2000,99.078125
2000-01-05,TU,TUM2000,98.921875
2000-01-05,FV,FVH2000,97.546875
2000-01-05,FV,FVM2000,97.234375
2000-01-05,TY,TYH2000,94.875
2000-01-05,TY,TYM2000,94.578125
2000-01-06,TU,TUH2000,99.1484375
2000-01-06,TU,TUM2000,98.9921875
2000-01-06,FV,FVH2000,97.71875
2000-01-06,FV,FVM2000,97.40625
2000-01-06,TY,TYH2000,95.203125
2000-01-06,TY,TYM2000,94.921875
2000-01-07,TU,TUH2000,99.21875
2000-01-07,TU,TUM2000,99.0625
2000-01-07,FV,FVH2000,97.9375
2000-01-07,FV,FVM2000,97.65625
2000-01-07,TY,TYH2000,95.578125
2000-01-07,TY,TYM2000,95.328125
2000-01-10,TU,TUH2000,99.109375
2000-01-10,TU,TUM2000,98.953125
2000-01-10,FV,FVH2000,97.71875
2000-01-10,FV,FVM2000,97.4375
2000-01-10,TY,TYH2000,95.34375
2000-01-10,TY,TYM2000,95.09375
2000-01-11,TU,TUH2000,98.9609375
2000-01-11,TU,TUM2000,98.8046875
2000-01-11,FV,FVH2000,97.3125
2000-01-11,FV,FVM2000,97.03125
2000-01-11,TY,TYH2000,94.5625
2000-01-11,TY,TYM2000,94.3125
2000-01-12,TU,TUH2000,98.8984375
2000-01-12,TU,TUM2000,98.7421875
2000-01-12,FV,FVH2000,97.140625
2000-01-12,FV,FVM2000,96.84375
2000-01-12,TY,TYH2000,94.390625
2000-01-12,TY,TYM2000,94.140625
2000-01-13,TU,TUH2000,99.0546875
2000-01-13,TU,TUM2000,98.8984375
2000-01-13,FV,FVH2000,97.5625
2000-01-13,FV,FVM2000,97.25
2000-01-13,TY,TYH2000,95.015625
2000-01-13,TY,TYM2000,94.75
2000-01-14,TU,TUH2000,98.96875
2000-01-14,TU,TUM2000,98.8125
2000-01-14,FV,FVH2000,97.34375
2000-01-14,FV,FVM2000,97.015625
2000-01-14,TY,TYH2000,94.609375
2000-01-14,TY,TYM2000,94.328125
2000-01-18,TU,TUH2000,98.8984375
2000-01-18,TU,TUM2000,98.7421875
2000-01-18,FV,FVH2000,97.109375
2000-01-18,FV,FVM2000,96.75
2000-01-18,TY,TYH2000,94.125
2000-01-18,TY,TYM2000,93.796875
2000-01-19,TU,TUH2000,98.953125
2000-01-19,TU,TUM2000,98.796875
2000-01-19,FV,FVH2000,97.234375
2000-01-19,FV,FVM2000,96.859375
2000-01-19,TY,TYH2000,94.34375
2000-01-19,TY,TYM2000,94.015625
2000-01-20,TU,TUH2000,98.90625
2000-01-20,TU,TUM2000,98.75
2000-01-20,FV,FVH2000,97.078125
2000-01-20,FV,FVM2000,96.671875
2000-01-20,TY,TYH2000,94.0625
2000-01-20,TY,TYM2000,93.6875
2000-01-21,TU,TUH2000,98.9140625
2000-01-21,TU,TUM2000,98.7578125
2000-01-21,FV,FVH2000,97.078125
2000-01-21,FV,FVM2000,96.625
2000-01-21,TY,TYH2000,93.984375
2000-01-21,TY,TYM2000,93.578125
2000-01-24,TU,TUH2000,99.0234375
2000-01-24,TU,TUM2000,98.8125
2000-01-24,FV,FVH2000,97.40625
2000-01-24,FV,FVM2000,96.984375
2000-01-24,TY,TYH2000,94.5625
2000-01-24,TY,TYM2000,94.1875
2000-01-25,TU,TUH2000,99.0
2000-01-25,TU,TUM2000,98.796875
2000-01-25,FV,FVH2000,97.359375
2000-01-25,FV,FVM2000,96.953125
2000-01-25,TY,TYH2000,94.484375
2000-01-25,TY,TYM2000,94.125
2000-01-26,TU,TUH2000,98.9609375
2000-01-26,TU,TUM2000,98.7578125
2000-01-26,FV,FVH2000,97.25
2000-01-26,FV,FVM2000,96.84375
2000-01-26,TY,TYH2000,94.609375
2000-01-26,TY,TYM2000,94.265625
2000-01-27,TU,TUH2000,98.84375
2000-01-27,TU,TUM2000,98.6875
2000-01-27,FV,FVH2000,97.046875
2000-01-27,FV,FVM2000,96.640625
2000-01-27,TY,TYH2000,94.578125
2000-01-27,TY,TYM2000,94.21875
2000-01-28,TU,TUH2000,98.7265625
2000-01-28,TU,TUM2000,98.5703125
2000-01-28,FV,FVH2000,97.0
2000-01-28,FV,FVM2000,96.609375
2000-01-28,TY,TYH2000,94.890625
2000-01-28,TY,TYM2000,94.5
2000-01-31,TU,TUH2000,98.625
2000-01-31,TU,TUM2000,98.46875
2000-01-31,FV,FVH2000,96.859375
2000-01-31,FV,FVM2000,96.46875
2000-01-31,TY,TYH2000,94.78125
