Ticker,Bond_ID,CF,Year
TYH2016,US912828B667,0.8009,2016
TYM2016,US912828B667,0.806,2016
TYU2016,US9128282A70,0.6714,2016
TYZ2016,US9128282A70,0.6777,2016
FVH2016,US912828L328,0.8228,2016
FVM2016,US912828L328,0.8317,2016
FVU2016,US9128282F67,0.7951,2016
FVZ2016,US9128282F67,0.8041,2016
TUH2016,US912828G799,0.9181,2016
TUM2016,US912828J686,0.9181,2016
TUU2016,US9128282C37,0.9063,2016
TUZ2016,US912828A347,0.9152,2016
TYH2016,US912828D564,0.7668,2016
TYM2016,US912828D564,0.7723,2016
TYU2016,US9128282D10,0.7463,2016
TYZ2016,US9128282D10,0.7541,2016
FVH2016,US912828L658,0.8199,2016
FVM2016,US912828L658,0.8287,2016
FVU2016,US912828M987,0.8408,2016
FVZ2016,US912828P873,0.8226,2016
TUH2016,US912828H375,0.9122,2016
TUM2016,US912828K254,0.9101,2016
TUU2016,US912828K825,0.9107,2016
TUZ2016,US912828A750,0.9164,2016
TYH2016,US912828G385,0.7531,2016
TYM2016,US912828G385,0.7587,2016
TYU2016,US912828B667,0.8111,2016
TYZ2016,US912828B667,0.8164,2016
FVH2016,US912828L997,0.817,2016
FVM2016,US912828L997,0.8258,2016
FVU2016,US912828N480,0.8426,2016
FVZ2016,US912828Q376,0.8241,2016
TUH2016,US912828H946,0.9107,2016
TUM2016,US912828Q459,0.916,2016
TUU2016,US912828L401,0.9071,2016
TUZ2016,US912828L401,0.9181,2016
TYH2016,US912828J272,0.7307,2016
TYM2016,US912828J272,0.7367,2016
TYU2016,US912828D564,0.7779,2016
TYZ2016,US912828D564,0.7836,2016
FVH2016,US912828M987,0.8242,2016
FVM2016,US912828M987,0.8324,2016
FVU2016,US912828N894,0.8258,2016
FVZ2016,US912828Q780,0.8258,2016
TUH2016,US912828J686,0.9071,2016
TUM2016,US912828Q947,0.9101,2016
TUU2016,US912828R937,0.9119,2016
TUZ2016,US912828L815,0.9122,2016
TYH2016,US912828K742,0.7191,2016
TYM2016,US912828K742,0.7249,2016
TYU2016,US912828G385,0.7645,2016
