Ticker,DLV_Date,Year
TUH2010,2010-04-05,2010
TUM2010,2010-07-06,2010
TUU2010,2010-10-05,2010
TUZ2010,2011-01-05,2010
FVH2010,2010-04-05,2010
FVM2010,2010-07-06,2010
FVU2010,2010-10-05,2010
FVZ2010,2011-01-05,2010
TYH2010,2010-03-31,2010
TYM2010,2010-06-30,2010
TYU2010,2010-09-30,2010
TYZ2010,2010-12-31,2010
TUH2011,2011-04-05,2011
TUM2011,2011-07-06,2011
TUU2011,2011-10-05,2011
TUZ2011,2012-01-05,2011
FVH2011,2011-04-05,2011
FVM2011,2011-07-06,2011
FVU2011,2011-10-05,2011
FVZ2011,2012-01-05,2011
TYH2011,2011-03-31,2011
TYM2011,2011-06-30,2011
TYU2011,2011-09-30,2011
TYZ2011,2011-12-30,2011
TUH2012,2012-04-04,2012
TUM2012,2012-07-05,2012
TUU2012,2012-10-03,2012
TUZ2012,2013-01-04,2012
FVH2012,2012-04-04,2012
FVM2012,2012-07-05,2012
FVU2012,2012-10-03,2012
FVZ2012,2013-01-04,2012
TYH2012,2012-03-30,2012
TYM2012,2012-06-29,2012
TYU2012,2012-09-28,2012
TYZ2012,2012-12-31,2012
TUH2013,2013-03-05,2013
TUM2013,2013-07-03,2013
TUU2013,2013-10-03,2013
TUZ2013,2014-01-06,2013
FVH2013,2013-04-03,2013
FVM2013,2013-07-03,2013
FVU2013,2013-10-03,2013
FVZ2013,2014-01-06,2013
TYH2013,2013-03-28,2013
TYM2013,2013-06-28,2013
TYU2013,2013-09-30,2013
TYZ2013,2013-12-31,2013
TUH2014,2014-04-03,2014
TUM2014,2014-07-03,2014
TUU2014,2014-10-03,2014
TUZ2014,2015-01-06,2014
FVH2014,2014-04-03,2014
FVM2014,2014-07-03,2014
FVU2014,2014-10-03,2014
FVZ2014,2015-01-06,2014
TYH2014,2014-03-31,2014
TYM2014,2014-06-30,2014
TYU2014,2014-09-30,2014
TYZ2014,2014-12-31,2014
TUH2015,2015-04-03,2015
TUM2015,2015-07-06,2015
TUU2015,2015-10-05,2015
TUZ2015,2016-01-06,2015
FVH2015,2015-04-03,2015
FVM2015,2015-07-06,2015
FVU2015,2015-10-05,2015
FVZ2015,2016-01-06,2015
TYH2015,2015-03-31,2015
TYM2015,2015-06-30,2015
TYU2015,2015-09-30,2015
TYZ2015,2015-12-31,2015
TUH2016,2016-04-05,2016
TUM2016,2016-07-06,2016
TUU2016,2016-10-05,2016
TUZ2016,2017-01-05,2016
FVH2016,2016-04-05,2016
FVM2016,2016-07-06,2016
FVU2016,2016-10-05,2016
FVZ2016,2017-01-05,2016
TYH2016,2016-03-31,2016
TYM2016,2016-06-30,2016
TYU2016,2016-09-30,2016
TYZ2016,2016-12-30,2016
TUH2017,2017-04-05,2017
TUM2017,2017-07-06,2017
TUU2017,2017-10-04,2017
TUZ2017,2018-01-04,2017
FVH2017,2017-04-05,2017
FVM2017,2017-07-06,2017
FVU2017,2017-10-04,2017
FVZ2017,2018-01-04,2017
TYH2017,2017-03-31,2017
TYM2017,2017-06-30,2017
TYU2017,2017-09-29,2017
